断面名称,长ZWTG-1, , .1,测量水位,1.53
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.4,0
2, , , ,5.44,1.85
3, , , ,5.24,4.9
4, , , ,3.09,8.54
5, , , ,3.11,8.79
6, , , ,1.17,9.46
7, , , ,-1.61,12.31
8, , , ,-1.75,16.44
9, , , ,-1.9,21.78
10, , , ,-2.01,27.71
11, , , ,-2.08,30.5
12, , , ,-1.92,34.39
13, , , ,-1.9,39.41
14, , , ,-1.95,44.17
15, , , ,-1.64,48.06
16, , , ,-1.5,50.29
17, , , ,1.04,54.35
18, , , ,3.04,54.69
19, , , ,3.03,55.34
20, , , ,3.3,59.58
21, , , ,3.88,60.03
22, , , ,3.98,61.6
23, , , ,4.21,68.81
24, , , ,3.78,77.17
25, , , ,4.14,80.22
26, , , ,4.11,82.31
27, , , ,4.01,83.81
断面名称,长ZWTG-2, , ,测量水位,1.54
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.82,0
2, , , ,3.67,5.1
3, , , ,3.73,5.15
4, , , ,3.83,8.14
5, , , ,3.63,10.79
6, , , ,3.88,10.86
7, , , ,3.04,11.58
8, , , ,3.65,11.96
9, , , ,3.64,12.01
10, , , ,1.29,12.24
11, , , ,-0.46,18.14
12, , , ,-0.35,19.39
13, , , ,-0.58,21.84
14, , , ,-0.8,24.12
15, , , ,-2,27.54
16, , , ,-2.1,32.51
17, , , ,-2.09,36.37
18, , , ,-2.15,39.55
19, , , ,-1.84,42.54
20, , , ,-1.8,46.04
21, , , ,-1.77,51.64
22, , , ,-0.32,55.36
23, , , ,-0.22,57.44
24, , , ,1.14,60.83
25, , , ,3.14,61.11
26, , , ,3.08,61.53
断面名称,长ZWTG-3, , ,测量水位,1.52
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.8,0
2, , , ,1.77,9.38
3, , , ,0.16,17.8
4, , , ,-0.01,19.28
5, , , ,-0.1,21.26
6, , , ,-0.37,23.6
7, , , ,-0.79,25.93
8, , , ,-1.25,28.24
9, , , ,-1.54,30.5
10, , , ,-2.04,33.06
11, , , ,-2.45,36.15
12, , , ,-2.46,39.54
13, , , ,-2.31,43.03
14, , , ,-1.74,46.55
15, , , ,-1.13,50.14
16, , , ,-0.67,53.7
17, , , ,-0.22,57.06
18, , , ,0.22,59.91
19, , , ,0.46,62.73
20, , , ,0.67,63.98
21, , , ,1.88,71.87
22, , , ,1.98,83.05
断面名称,长ZWTG-4, , ,测量水位,1.49
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.4,0
2, , , ,4.12,1.35
3, , , ,3.04,5.29
4, , , ,3.25,5.44
5, , , ,3.21,6.21
6, , , ,1.16,6.65
7, , , ,1.05,11.22
8, , , ,1.06,15.66
9, , , ,1.04,19.56
10, , , ,0.92,21.39
11, , , ,0.65,24.06
12, , , ,-0.26,27.38
13, , , ,-1.22,30.89
14, , , ,-1.54,34.27
15, , , ,-1.98,37.52
16, , , ,-2.37,40.9
17, , , ,-2.67,44.45
18, , , ,-2.27,47.95
19, , , ,-2.4,50.21
20, , , ,-2.47,54.23
21, , , ,-2.56,57.77
22, , , ,-2.32,61.35
23, , , ,-2.28,64.85
24, , , ,-2.16,68.81
25, , , ,-2.24,70.79
26, , , ,-2.2,72.48
27, , , ,-2.24,74.42
28, , , ,-2.22,76.14
29, , , ,-2.25,79.25
30, , , ,-2.26,82.87
31, , , ,-2.19,87.33
32, , , ,-2.2,89.89
33, , , ,1.56,93.64
34, , , ,1.62,93.64
35, , , ,4.2,94.01
36, , , ,4.05,94.01
37, , , ,4.17,94.83
38, , , ,3.98,95.22
39, , , ,4.1,105.62
40, , , ,4.01,111.95
断面名称,长ZWTG-5, , ,测量水位,1.48
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.51,0
2, , , ,3.43,3.7
3, , , ,3.4,9.52
4, , , ,3.08,10.91
5, , , ,3.08,11.26
6, , , ,3.05,12.22
7, , , ,1.21,12.75
8, , , ,0.45,14.77
9, , , ,0.2,16.73
10, , , ,-1.71,19.09
11, , , ,-2.03,21.38
12, , , ,-2.16,23.38
13, , , ,-2.26,25.61
14, , , ,-2.48,28.36
15, , , ,-2.55,31.63
16, , , ,-2.61,35.36
17, , , ,-2.52,39.05
18, , , ,-2.4,42.74
19, , , ,-2.35,46.43
20, , , ,-2.29,50.15
21, , , ,-2.25,53.89
22, , , ,-2.22,57.63
23, , , ,-2.15,61.32
24, , , ,-2.16,65.09
25, , , ,-2.27,68.75
26, , , ,-2.04,72.33
27, , , ,-0.81,75.59
28, , , ,0.38,78.44
29, , , ,0.6,79.7
30, , , ,0.71,81.67
31, , , ,1.21,86.21
32, , , ,3.17,86.73
33, , , ,3.18,87.11
34, , , ,3.71,89.12
35, , , ,4.63,91.26
36, , , ,4.65,91.33
37, , , ,5.51,92.14
38, , , ,5.56,94.71
39, , , ,5.45,96.17
断面名称,长ZWTG-6, , ,测量水位,1.51
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.38,0
2, , , ,5.47,3.81
3, , , ,5.43,6.85
4, , , ,3.38,9.98
5, , , ,3.11,12.61
6, , , ,3.18,12.71
7, , , ,3.2,13.16
8, , , ,1.04,13.58
9, , , ,-0.81,15.69
10, , , ,-1.01,19.26
11, , , ,-1.17,25.78
12, , , ,-1.43,28.21
13, , , ,-1.6,32.23
14, , , ,-2.21,35.12
15, , , ,-2.39,38.24
16, , , ,-2.63,41.46
17, , , ,-2.6,44.9
18, , , ,-2.53,48.63
19, , , ,-2.51,50.64
20, , , ,-2.58,52.75
21, , , ,-2.64,54.88
22, , , ,-2.83,61.35
23, , , ,-2.93,63.53
24, , , ,-2.65,65.66
25, , , ,-2.4,67.85
26, , , ,-2.04,70.31
27, , , ,-1.91,73.52
28, , , ,-1.71,76.55
29, , , ,-1.08,79.11
30, , , ,-0.9,82.54
31, , , ,1.27,87.6
32, , , ,1.03,87.79
33, , , ,3.17,88.04
34, , , ,3.21,88.22
35, , , ,3.04,88.78
36, , , ,3.65,92.34
37, , , ,4.83,95.16
38, , , ,5.59,95.93
39, , , ,5.61,97.27
40, , , ,5.62,101.87
断面名称,长ZWTG-7, , ,测量水位,1.48
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.11,0
2, , , ,5.13,2.32
3, , , ,5.02,4.82
4, , , ,4.55,5.38
5, , , ,3.24,7.49
6, , , ,3.25,9.2
7, , , ,3.14,9.97
8, , , ,3.13,10.17
9, , , ,1.26,10.56
10, , , ,-0.25,15.02
11, , , ,-0.21,21.74
12, , , ,-1,23.07
13, , , ,-2.21,25.69
14, , , ,-2.42,28.2
15, , , ,-2.55,34.26
16, , , ,-2.58,41.86
17, , , ,-2.49,46.84
18, , , ,-2.44,53.86
19, , , ,-2.45,59.07
20, , , ,-2.22,64.74
21, , , ,-1.74,66.82
22, , , ,-1.71,68.87
23, , , ,-1.71,71.06
24, , , ,-1.72,73.3
25, , , ,-1.06,75.32
26, , , ,-0.59,75.85
27, , , ,-0.81,76.29
28, , , ,-0.15,76.83
29, , , ,0.02,78.59
30, , , ,-0.03,78.76
31, , , ,0.35,80.2
32, , , ,1.16,82.67
33, , , ,3.16,82.97
34, , , ,3.12,83.62
35, , , ,3.34,86.53
36, , , ,4.47,87.46
37, , , ,4.71,89.51
38, , , ,4.13,90.05
断面名称,长ZWTG-8, , ,测量水位,1.46
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.09,0
2, , , ,0.95,13.68
3, , , ,3.07,20.04
4, , , ,2.95,26.71
5, , , ,1.75,30.49
6, , , ,0.65,35.3
7, , , ,0.53,35.53
8, , , ,0.18,36.87
9, , , ,-1.51,39.14
10, , , ,-2.07,41.57
11, , , ,-2.08,44.13
12, , , ,-2.4,46.55
13, , , ,-2.52,49.05
14, , , ,-2.46,51.58
15, , , ,-2.81,54.24
16, , , ,-2.86,57.09
17, , , ,-2.35,60.04
18, , , ,-2.49,63.02
19, , , ,-2.56,66.06
20, , , ,-2.66,69.09
21, , , ,-2.29,71.7
22, , , ,-2.48,74.28
23, , , ,-2.44,76.95
24, , , ,-2.48,79.6
25, , , ,-2.29,82.29
26, , , ,-2.13,84.97
27, , , ,-1.93,87.71
28, , , ,-1.81,90.57
29, , , ,-1.19,93.59
30, , , ,0.21,95.85
31, , , ,0.3,98.09
32, , , ,0.49,99.79
33, , , ,1.16,103.01
34, , , ,3.15,103.48
35, , , ,3.21,103.53
36, , , ,1.43,104.38
37, , , ,2.95,107.35
38, , , ,3.29,108.03
39, , , ,3.39,110.86
40, , , ,3.06,111.99
断面名称,长ZWTG-9, , ,测量水位,1.45
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.7,0
2, , , ,6.81,3.04
3, , , ,5.79,6.23
4, , , ,5.9,7.15
5, , , ,2.36,8.42
6, , , ,2.4,11.81
7, , , ,2.3,12.03
8, , , ,2.3,13.18
9, , , ,1.79,13.52
10, , , ,1.02,13.82
11, , , ,-0.17,19.95
12, , , ,-1.02,24.14
13, , , ,-1.61,27.25
14, , , ,-1.92,30.54
15, , , ,-1.99,33.9
16, , , ,-2.05,37.37
17, , , ,-2.21,40.89
18, , , ,-2.11,44.82
19, , , ,-1.96,48.54
20, , , ,-1.8,51.48
21, , , ,-1.74,54.67
22, , , ,-1.65,58.61
23, , , ,-1.45,66.46
24, , , ,-1.33,71.72
25, , , ,-1.02,75
26, , , ,-0.74,78.16
27, , , ,-0.3,80.1
28, , , ,-0.12,81.39
29, , , ,-0.01,83.8
30, , , ,0.56,86.14
31, , , ,3.17,86.19
32, , , ,3.18,86.6
33, , , ,3.21,86.61
34, , , ,3.42,90.47
35, , , ,4.59,92.14
36, , , ,4.61,94.02
37, , , ,4.56,94.28
38, , , ,3.83,95.29
