sections,branch,chainage_n,chainage_v
null, BHG,chainage_00,0.000
长BHG2-9,BHG,chainage_01,81.078
长BHG2-10,BHG,chainage_02,212.572
长BHG2-11,BHG,chainage_03,1375.158
长BHG2-12,BHG,chainage_04,2114.923
长BHG2-13,BHG,chainage_05,2995.760
长BHG2-14,BHG,chainage_06,3803.186
null, BHG2,chainage_00,0.000
长BHG2-3,BHG2,chainage_01,58.413
长BHG2-4,BHG2,chainage_02,466.246
长BHG2-5,BHG2,chainage_03,764.265
长BHG2-6,BHG2,chainage_04,2311.443
长BHG2-7,BHG2,chainage_05,3032.615
长BHG2-8,BHG2,chainage_06,3633.926
null, BHG2,chainage_07,3703.610
null, BHG3,chainage_00,0.000
长BHG2-1,BHG3,chainage_01,75.317
长BHG2-2,BHG3,chainage_02,695.991
null, BHG3,chainage_03,1259.660
null, BHG4,chainage_00,0.000
长BHG8,BHG4,chainage_01,388.277
null, BHG4,chainage_02,734.259
null, BTG,chainage_00,0.000
长BTG-17,chainage_01,91.477
长BTG-18,BTG,chainage_02,251.563
长BTG-19,BTG,chainage_03,1147.608
长BTG-20,BTG,chainage_04,1985.876
长BTG-21,BTG,chainage_05,2578.362
长BTG-22,BTG,chainage_06,3289.816
长BTG-23,BTG,chainage_07,3956.774
长BTG-24,BTG,chainage_08,4523.047
长BTG-25,BTG,chainage_09,5050.454
null, BTG,chainage_10,5165.371
null, BTG2,chainage_00,0.000
长BTG-14,BTG2,chainage_01,277.390
长BTG-15,BTG2,chainage_02,1018.950
长BTG-16,BTG2,chainage_03,1586.820
null, CHBX,chainage_00,0.000
长CHBX-1,CHBX,chainage_01,478.362
长CHBX-2,CHBX,chainage_02,2008.836
长CHBX-3,CHBX,chainage_03,3389.037
null, CHBX,chainage_04,3730.820
null, CHBX2,chainage_00,0.000
长CHBX-4,CHBX2,chainage_01,45.523
长CHBX-5,CHBX2,chainage_02,364.994
长CHBX-6,CHBX2,chainage_03,810.388
长CHBX-7,CHBX2,chainage_04,1165.281
长CHBX-8,CHBX2,chainage_05,1680.982
长CHBX-9,CHBX2,chainage_06,2160.684
长CHBX-10,CHBX2,chainage_07,2525.577
长CHBX-11,CHBX2,chainage_08,3026.598
长CHBX-12,CHBX2,chainage_09,4098.647
null, CHBX2,chainage_10,4231.370
null, CHG,chainage_00,0.000
长CHG-1,CHG,chainage_01,81.393
长CHG-2,CHG,chainage_02,556.383
长CHG-3,CHG,chainage_03,1358.906
长CHG-4,CHG,chainage_04,2438.056
长CHG-5,CHG,chainage_05,3504.078
长CHG-6,CHG,chainage_06,4206.702
长CHG-7,CHG,chainage_07,4539.719
长CHG-8,CHG,chainage_08,4897.658
长CHG-9,CHG,chainage_09,5629.560
长CHG-10,CHG,chainage_10,6559.612
null, CHG,chainage_11,6714.940
null, CQJ,chainage_00,0.000
长CQJ-1,CQJ,chainage_01,76.135
长CQJ-2,CQJ,chainage_02,355.292
长CQJ-3,CQJ,chainage_03,631.065
长CQJ-4,CQJ,chainage_04,1021.222
长CQJ-5,CQJ,chainage_05,1386.987
null, CQJ,chainage_06,1455.930
null, CXG,chainage_00,0.000
长CXG-1,CXG,chainage_01,230.450
长CXG-2,CXG,chainage_02,1030.220
长CXG-3,CXG,chainage_03,1941.930
长CXG-4,CXG,chainage_04,2841.906
长CXG-5,CXG,chainage_05,3706.627
长CXG-6,CXG,chainage_06,5454.829
长CXG-7,CXG,chainage_07,6151.823
长CXG-8,CXG,chainage_08,7245.217
长CXG-9,CXG,chainage_09,8121.615
长CXG-10,CXG,chainage_10,9205.687
长CXG-11,CXG,chainage_11,10029.148
长CXG-12,CXG,chainage_12,11073.126
长CXG-13,CXG,chainage_13,12057.144
长CXG-14,CXG,chainage_14,12732.472
长CXG-15,CXG,chainage_15,13560.486
长CXG-16,CXG,chainage_16,14827.936
长CXG-17,CXG,chainage_17,17238.560
长CXG-18,CXG,chainage_18,17969.186
长CXG-19,CXG,chainage_19,18727.752
null, CXG,chainage_20,18763.480
null, CYG,chainage_00,0.000
长CYG-2,CYG,chainage_01,402.176
长CYG-3,CYG,chainage_02,1835.682
长CYG-4,CYG,chainage_03,3429.004
长CYG-5,CYG,chainage_04,4905.174
长CYG-6,CYG,chainage_05,6346.172
长CYG-7,CYG,chainage_06,7688.527
null, CYG,chainage_07,8043.238
null, CYG2,chainage_00,0.000
null, CYG2,chainage_01,366.069
null, CYG3,chainage_00,0.000
长CYG-1,CYG3,chainage_01,400.135
null, CYG3,chainage_02,756.611
null, HTQG,chainage_00,0.000
长HTQG-1,HTQG,chainage_01,93.810
长HTQG-2,HTQG,chainage_02,902.850
长HTQG-3,HTQG,chainage_03,1843.147
长HTQG-4,HTQG,chainage_04,2698.403
长HTQG-5,HTQG,chainage_05,3480.685
null, HTQG,chainage_06,3612.108
null, HXJ,chainage_00,0.000
长HXJ-4,HXJ,chainage_01,256.180
长HXJ-5,HXJ,chainage_02,862.600
长HXJ-6,HXJ,chainage_03,1445.310
长HXJ-7,HXJ,chainage_04,2019.440
null, HXJ,chainage_05,2052.840
null, HXXG,chainage_00,0.000
长HXXG-1,HXXG,chainage_01,180.632
长HXXG-2,HXXG,chainage_02,817.825
长HXXG-3,HXXG,chainage_03,1615.304
长HXXG-4,HXXG,chainage_04,2587.719
长HXXG-5,HXXG,chainage_05,3310.488
长HXXG-6,HXXG,chainage_06,3868.879
长HXXG-7,HXXG,chainage_07,4678.028
长HXXG-8,HXXG,chainage_08,5504.703
长HXXG-9,HXXG,chainage_09,6520.381
长HXXG-10,HXXG,chainage_10,7626.138
长HXXG-11,HXXG,chainage_11,8743.824
长HXXG-12,HXXG,chainage_12,9560.737
长HXXG-13,HXXG,chainage_13,11173.926
长HXXG-14,HXXG,chainage_14,11564.500
长HXXG-15,HXXG,chainage_15,11903.275
长HXXG-16,HXXG,chainage_16,12977.958
长HXXG-17,HXXG,chainage_17,13983.055
长HXXG-18,HXXG,chainage_18,14712.047
null, HXXG,chainage_19,14804.961
null, LCG,chainage_00,0.000
LCG,chainage_01,1362.150
LCG,chainage_02,2342.039
LCG,chainage_03,3246.137
LCG,chainage_04,4461.669
null, LCG,chainage_05,4972.426
null, SZMG,chainage_00,0.000
SZMG,chainage_01,261.294
SZMG,chainage_02,805.201
SZMG,chainage_03,1277.494
SZMG,chainage_04,2039.370
SZMG,chainage_05,3015.908
SZMG,chainage_06,3423.251
SZMG,chainage_07,3833.391
SZMG,chainage_08,4190.630
SZMG,chainage_09,4655.747
null, SZMG,chainage_10,4849.512
null, XKHG,chainage_00,0.000
XKHG,chainage_01,241.882
XKHG,chainage_02,842.578
XKHG,chainage_03,1416.842
XKHG,chainage_04,1861.550
XKHG,chainage_05,2398.547
XKHG,chainage_06,3263.384
null, XKHG,chainage_07,3475.519
null, YJPG,chainage_00,0.000
YJPG,chainage_01,60.239
null, YJPG,chainage_02,558.526
null, YJPG2,chainage_00,0.000
YJPG2,chainage_01,46.573
YJPG2,chainage_02,645.701
YJPG2,chainage_03,1593.755
YJPG2,chainage_04,2912.878
YJPG2,chainage_05,3888.075
YJPG2,chainage_06,4377.232
YJPG2,chainage_07,5291.915
YJPG2,chainage_08,6679.739
YJPG2,chainage_09,7308.739
YJPG2,chainage_10,7667.318
YJPG2,chainage_11,8129.662
YJPG2,chainage_12,8779.917
YJPG2,chainage_13,9271.036
YJPG2,chainage_14,9497.822
YJPG2,chainage_15,10209.781
YJPG2,chainage_16,11208.966
YJPG2,chainage_17,11628.520
YJPG2,chainage_18,12148.491
YJPG2,chainage_19,12390.898
YJPG2,chainage_20,13111.635
YJPG2,chainage_21,13755.000
YJPG2,chainage_22,14654.536
null, YJPG2,chainage_23,14723.510
null, YLJ,chainage_00,0.000
YLJ,chainage_01,319.540
YLJ,chainage_02,745.310
YLJ,chainage_03,1291.870
null, YLJ,chainage_04,1333.750
null, ZWTG,chainage_00,0.000
ZWTG,chainage_01,112.123
ZWTG,chainage_02,1125.755
ZWTG,chainage_03,1783.942
ZWTG,chainage_04,2255.392
ZWTG,chainage_05,3505.246
ZWTG,chainage_06,4654.722
ZWTG,chainage_07,5792.438
ZWTG,chainage_08,7026.151
null, ZWTG,chainage_09,7273.150
