断面名称,长SZMG-1, , .1,测量水位,1.75
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.92,0
2, , , ,5.45,11.55
3, , , ,5.35,16.08
4, , , ,4.1,18.59
5, , , ,2.87,19.8
6, , , ,2.22,22.7
7, , , ,0.88,23.68
8, , , ,0.67,25.72
9, , , ,0.55,27.56
10, , , ,0.77,29.08
11, , , ,0.95,30.25
12, , , ,1.29,31.13
13, , , ,2.56,33
14, , , ,3.52,34.88
15, , , ,3.91,36.14
16, , , ,4.85,39.78
17, , , ,4.92,42.76
断面名称,长SZMG-2, , ,测量水位,1.74
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.94,0
2, , , ,3.7,3.72
3, , , ,3.21,6.24
4, , , ,1.03,9.51
5, , , ,0.41,11.31
6, , , ,-0.16,12.88
7, , , ,0.27,14.13
8, , , ,1.24,15.47
9, , , ,1.46,18.41
10, , , ,3.3,22.55
11, , , ,2.66,25.08
12, , , ,3.85,28.68
13, , , ,3.84,31.04
断面名称,长SZMG-3, , ,测量水位,1.73
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.04,0
2, , , ,3.88,12.01
3, , , ,3.56,16.51
4, , , ,0.79,26.04
5, , , ,1.04,31.41
6, , , ,0.98,33.93
7, , , ,0.46,38.43
8, , , ,0.06,42.04
9, , , ,-0.01,44.91
10, , , ,0.08,46.86
11, , , ,0.36,49.22
12, , , ,0.61,54.66
13, , , ,0.73,57.59
14, , , ,0.83,60.68
15, , , ,0.99,62.23
16, , , ,1.08,63.72
17, , , ,1.14,65.62
18, , , ,4.02,71.53
19, , , ,3.95,78.17
20, , , ,3.97,85.77
断面名称,长SZMG-4, , ,测量水位,1.71
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.27,0
2, , , ,2.74,3.97
3, , , ,3.05,9.02
4, , , ,2.79,11.45
5, , , ,1.41,14.24
6, , , ,1.71,15.28
7, , , ,0.97,18.19
8, , , ,0.42,21.33
9, , , ,-0.01,26.78
10, , , ,-0.21,29.66
11, , , ,-0.33,34.97
12, , , ,-0.35,39.54
13, , , ,0.47,44.24
14, , , ,1.55,50.94
15, , , ,1.66,51.3
16, , , ,2.68,53.28
17, , , ,3.01,54.2
18, , , ,3.29,56.37
19, , , ,3.18,58.87
断面名称,长SZMG-5, , ,测量水位,1.75
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.36,0
2, , , ,2.63,4.11
3, , , ,3.65,7.06
4, , , ,3.36,8.38
5, , , ,2.42,9.05
6, , , ,0.77,11.83
7, , , ,0.62,13.84
8, , , ,0.56,15.86
9, , , ,0.32,19.64
10, , , ,0.1,23.19
11, , , ,-0.13,27.71
12, , , ,-0.74,32.14
13, , , ,-0.59,35.02
14, , , ,-0.44,37.66
15, , , ,-0.12,42.21
16, , , ,0.27,46.69
17, , , ,0.59,50.81
18, , , ,1.33,52.05
19, , , ,2.6,52.85
20, , , ,2.91,54.15
21, , , ,2.46,56.39
22, , , ,2.31,67.53
23, , , ,2.22,77.84
断面名称,长SZMG-6, , ,测量水位,1.76
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.65,0
2, , , ,1.75,7.63
3, , , ,1.73,9.02
4, , , ,3.53,13.31
5, , , ,3.51,14.77
6, , , ,2.47,15.49
7, , , ,0.94,17.56
8, , , ,0.55,19.8
9, , , ,0.25,27.85
10, , , ,0.2,37.7
11, , , ,0.09,47.37
12, , , ,-0.02,56.05
13, , , ,-0.26,62.89
14, , , ,-0.49,70.04
15, , , ,-0.71,75.42
16, , , ,-1.02,80.61
17, , , ,-1.13,86.87
18, , , ,-0.82,92.16
19, , , ,-1.03,101.45
20, , , ,-0.6,111.91
21, , , ,-0.8,125.89
22, , , ,-0.49,138.65
23, , , ,-0.35,152.01
24, , , ,-0.24,157.37
25, , , ,-0.03,181.48
26, , , ,0.09,196.49
27, , , ,1.19,196.77
28, , , ,1.76,197.65
29, , , ,2.47,199.2
30, , , ,2.78,209.62
31, , , ,3.08,234.3
32, , , ,3.1,252.41
断面名称,长SZMG-7, , ,测量水位,1.75
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.14,0
2, , , ,3.96,7.78
3, , , ,2.84,15.29
4, , , ,1.13,19.27
5, , , ,-0.03,22.64
6, , , ,-0.34,28.59
7, , , ,-0.61,36.79
8, , , ,-0.87,42.59
9, , , ,-1.16,48.12
10, , , ,-0.9,54.24
11, , , ,-0.94,59.04
12, , , ,-0.82,62.34
13, , , ,-0.61,66.7
14, , , ,-0.34,73.97
15, , , ,-0.16,77.02
16, , , ,2.2,78.38
17, , , ,1.88,81.19
18, , , ,1.98,84.29
19, , , ,2.99,87.24
20, , , ,3.13,88.7
21, , , ,2.41,89.98
断面名称,长SZMG-8, , ,测量水位,1.72
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.25,0
2, , , ,3.18,4.19
3, , , ,3.02,5.68
4, , , ,2.93,8.25
5, , , ,2.96,9.96
6, , , ,1.46,10.89
7, , , ,1.06,14.26
8, , , ,0.75,17.59
9, , , ,0.05,21.27
10, , , ,-1.19,25.12
11, , , ,-0.25,29.1
12, , , ,0.88,32.76
13, , , ,1.23,37.15
14, , , ,2.48,40.97
15, , , ,3.22,41.14
16, , , ,3.4,42.81
17, , , ,3.72,44.78
断面名称,长SZMG-9, , ,测量水位,1.71
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.65,0
2, , , ,3.27,2.86
3, , , ,3.04,4.47
4, , , ,1.74,5.04
5, , , ,-0.27,7.91
6, , , ,-0.28,11.4
7, , , ,-0.43,14.95
8, , , ,-0.5,18.01
9, , , ,-0.56,19.38
10, , , ,-0.75,22.21
11, , , ,-0.81,25.05
12, , , ,-1.07,29.96
13, , , ,-0.75,31.34
14, , , ,-0.56,32.85
15, , , ,-0.39,34.73
16, , , ,0.2,38.66
17, , , ,0.92,39.84
18, , , ,1.82,40.37
19, , , ,2.78,41.95
20, , , ,3.23,43.17
21, , , ,3.23,45.42
22, , , ,3.31,47.06
23, , , ,2.48,47.97
