断面名称,长HXJ-1, , .1,测量水位,1.75
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.99,0
2, , , ,4.53,8.1
3, , , ,2.17,13.18
4, , , ,1.77,14.19
5, , , ,1.38,26.62
6, , , ,2.71,27.28
7, , , ,3.79,40.03
8, , , ,2.66,41.77
9, , , ,2.22,42.57
10, , , ,1.38,46.3
11, , , ,1.21,48
12, , , ,1.15,49.09
13, , , ,1.18,51.94
14, , , ,1.23,55.44
15, , , ,1.27,57.94
16, , , ,0.95,61.53
17, , , ,1.15,66.1
18, , , ,1.38,72.41
19, , , ,1.49,75.67
20, , , ,1.53,78.69
21, , , ,1.75,81.33
22, , , ,3.73,82.55
23, , , ,4.14,84.58
24, , , ,4.75,85.15
25, , , ,5,87.22
26, , , ,4.94,88.85
27, , , ,5.8,91.57
28, , , ,5.88,94.42
29, , , ,6.04,98.77
断面名称,长HXJ-2, , ,测量水位,1.48
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.25,0
2, , , ,4.38,3.45
3, , , ,4.32,5.88
4, , , ,4.03,6.41
5, , , ,2.12,9.81
6, , , ,1.89,16.52
7, , , ,1.56,16.76
8, , , ,1.48,22.78
9, , , ,1.16,23.6
10, , , ,0.92,23.72
11, , , ,0.9,25.5
12, , , ,0.86,28.07
13, , , ,0.84,30.64
14, , , ,0.9,33.75
15, , , ,0.95,36.44
16, , , ,0.92,40.27
17, , , ,0.97,43.3
18, , , ,1.24,43.89
19, , , ,1.99,45.03
20, , , ,2.92,49.03
21, , , ,4.59,65.37
22, , , ,5.09,73.37
23, , , ,5.73,79.89
断面名称,长HXJ-3, , ,测量水位,1.47
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.22,0
2, , , ,5.92,6.81
3, , , ,3.45,11.01
4, , , ,3.39,11.32
5, , , ,2.88,18.08
6, , , ,2.87,21.83
7, , , ,2.15,25.2
8, , , ,1.57,27.65
9, , , ,0.8,28.45
10, , , ,0.39,31.88
11, , , ,0.24,35.76
12, , , ,0.16,39.86
13, , , ,0.25,45.71
14, , , ,0.37,51.72
15, , , ,0.69,54.8
16, , , ,0.53,60.06
17, , , ,0.63,62.63
18, , , ,0.71,67.78
19, , , ,1,70.82
20, , , ,4.27,71.31
21, , , ,4.22,79.54
断面名称,长HXJ-4, , ,测量水位,1.23
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,7.1,0
2, , , ,6.98,1.09
3, , , ,5.92,3.39
4, , , ,5.23,8.11
5, , , ,4.69,10.71
6, , , ,4.63,11.23
7, , , ,4.61,11.24
8, , , ,0.83,14.6
9, , , ,-0.64,18.28
10, , , ,-1.15,19.16
11, , , ,-1.72,21.33
12, , , ,-1.84,24.01
13, , , ,-1.82,29.16
14, , , ,-1.92,34.72
15, , , ,-2,40.6
16, , , ,-2.04,43.84
17, , , ,-1.88,47.72
18, , , ,-2.11,51.51
19, , , ,-1.9,55.89
20, , , ,-2.12,58.93
21, , , ,-2.18,62.77
22, , , ,-2.39,66.5
23, , , ,-2.62,70.25
24, , , ,-2.88,72.57
25, , , ,-2.77,75.58
26, , , ,-2.55,80.5
27, , , ,1.3,85.34
28, , , ,5.99,86.35
29, , , ,5.98,86.67
30, , , ,5.72,86.89
31, , , ,5.72,90.83
32, , , ,5.75,98.07
33, , , ,5.7,102.19
断面名称,长HXJ-5, , ,测量水位,1.22
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.46,0
2, , , ,6.63,17.21
3, , , ,5.87,18.05
4, , , ,4.6,23.49
5, , , ,0.91,24.03
6, , , ,-0.57,31.88
7, , , ,-0.73,33.35
8, , , ,-0.93,35.52
9, , , ,-1.63,38.19
10, , , ,-1.93,41.05
11, , , ,-2.13,44.07
12, , , ,-2.38,47.49
13, , , ,-2.29,49.57
14, , , ,-2.17,51.8
15, , , ,-1.86,53.99
16, , , ,-2.25,56.15
17, , , ,-2.13,58.25
18, , , ,-2.14,60.29
19, , , ,-2.47,64.18
20, , , ,-2.46,66.17
21, , , ,-2.38,68.17
22, , , ,-2.29,70.18
23, , , ,-2.51,72.2
24, , , ,-2.52,74.17
25, , , ,-2.91,77.88
26, , , ,-2.73,81.26
27, , , ,-2.66,84.29
28, , , ,-2.73,87.16
29, , , ,-2.74,89.91
30, , , ,-2.15,92.02
31, , , ,-1.94,93.48
32, , , ,-1.6,96.83
33, , , ,0.4,99.13
34, , , ,1.74,102.11
35, , , ,5.98,102.29
36, , , ,6,102.7
37, , , ,5.74,102.87
38, , , ,5.72,105.95
39, , , ,5.67,111.8
40, , , ,5.63,115.9
断面名称,长HXJ-6, , ,测量水位,1.21
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.47,0
2, , , ,5.45,2.62
3, , , ,5.83,2.73
4, , , ,5.87,2.88
5, , , ,4.96,7.21
6, , , ,4.98,7.44
7, , , ,0.96,7.82
8, , , ,-0.64,10.27
9, , , ,-2.7,12.57
10, , , ,-2.8,14.55
11, , , ,-2.88,16.94
12, , , ,-2.82,19.66
13, , , ,-2.85,23.07
14, , , ,-3.17,26.04
15, , , ,-3.2,29.88
16, , , ,-3.5,31.8
17, , , ,-3.3,34.49
18, , , ,-4.65,39.08
19, , , ,-3.39,42.6
20, , , ,-2.99,46.21
21, , , ,-3.19,49.84
22, , , ,-2.93,53.21
23, , , ,-2.72,56.1
24, , , ,-2.81,58.11
25, , , ,9.29,60.72
26, , , ,9.09,60.95
27, , , ,6.36,61.33
28, , , ,6.57,65.87
29, , , ,6.37,78.82
断面名称,长HXJ-7, , ,测量水位,1.23
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,12.27,0
2, , , ,12.18,9.34
3, , , ,9.29,20.52
4, , , ,6.99,30.05
5, , , ,4.88,31.59
6, , , ,4.72,33.22
7, , , ,6.76,33.41
8, , , ,7.35,33.71
9, , , ,7.51,33.91
10, , , ,-0.8,37.39
11, , , ,-1.4,41.14
12, , , ,-2.18,43.61
13, , , ,-2.37,46.75
14, , , ,-2.82,50.25
15, , , ,-2.84,52.69
16, , , ,-2.89,54.46
17, , , ,-2.91,57.44
18, , , ,-2.85,59.66
19, , , ,-2.84,61.19
20, , , ,-2.83,63.28
21, , , ,-2.81,65.59
22, , , ,-2.79,67.99
23, , , ,-2.42,71.72
24, , , ,-2.39,73.9
25, , , ,-2.19,77.15
26, , , ,-1.95,82.25
27, , , ,-0.67,88.15
28, , , ,-0.61,89.21
29, , , ,5.91,97.4
30, , , ,5.79,97.57
31, , , ,5.94,97.64
32, , , ,5.63,97.67
33, , , ,5.79,105.15
34, , , ,5.94,110.11
