断面名称,长LCG-1, , .1,测量水位,1.03
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.271,0
2, , , ,2.361,4.13
3, , , ,0.742,9.14
4, , , ,0.722,13.97
5, , , ,-1.158,17.43
6, , , ,-1.508,18.47
7, , , ,-1.888,21.28
8, , , ,-1.908,23.64
9, , , ,-1.738,26.48
10, , , ,-1.568,29.44
11, , , ,-1.128,32.05
12, , , ,-0.398,34.91
13, , , ,-0.068,36.87
14, , , ,0.752,43.1
15, , , ,1.653,43.9
16, , , ,2.023,49.82
17, , , ,3.033,50.02
18, , , ,6.053,56.49
19, , , ,6.183,62.67
20, , , ,5.113,65.41
21, , , ,4.343,65.58
22, , , ,3.913,74.79
断面名称,长LCG-2, , ,测量水位,1.02
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.302,0
2, , , ,4.112,2.97
3, , , ,5.022,3.16
4, , , ,6.222,6.2
5, , , ,6.122,12.36
6, , , ,3.102,18.39
7, , , ,2.062,18.54
8, , , ,2.043,28.51
9, , , ,1.023,30.44
10, , , ,-0.267,34.34
11, , , ,-0.037,34.57
12, , , ,-0.567,36.98
13, , , ,-0.897,40.11
14, , , ,-0.947,42.87
15, , , ,-0.757,44.94
16, , , ,-0.557,47.29
17, , , ,-0.307,49.97
18, , , ,-0.347,53.45
19, , , ,-0.247,55.93
20, , , ,-0.187,60.02
21, , , ,2.713,64.84
22, , , ,2.894,65.64
23, , , ,6.414,75.6
24, , , ,6.444,81.73
25, , , ,3.814,86.25
26, , , ,3.474,90.33
断面名称,长LCG-3, , ,测量水位,1.01
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.873,0
2, , , ,2.174,0.61
3, , , ,5.754,5.73
4, , , ,5.684,5.77
5, , , ,6.054,12.43
6, , , ,4.114,14.44
7, , , ,1.625,48.23
8, , , ,2.475,49.54
9, , , ,1.095,50.61
10, , , ,-0.745,54.84
11, , , ,-0.695,57.04
12, , , ,-0.795,61.02
13, , , ,-0.655,63.78
14, , , ,-0.455,66.27
15, , , ,-0.285,67.78
16, , , ,-0.155,70.19
17, , , ,0.595,74.71
18, , , ,1.375,75.85
19, , , ,2.056,81.5
20, , , ,2.156,81.65
21, , , ,2.306,81.83
22, , , ,2.946,82.05
23, , , ,2.976,82.36
24, , , ,2.256,82.57
25, , , ,5.796,87.92
26, , , ,5.686,94.36
27, , , ,5.086,96.68
28, , , ,4.376,97.16
29, , , ,3.996,97.59
断面名称,长LCG-4, , ,测量水位,1.02
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.628,0
2, , , ,4.278,20.78
3, , , ,2.719,21.93
4, , , ,1.989,37.89
5, , , ,0.369,39.83
6, , , ,0.179,43.69
7, , , ,0.139,45.62
8, , , ,0.099,47.36
9, , , ,-0.511,49.48
10, , , ,-0.701,51.67
11, , , ,-0.781,54.11
12, , , ,-0.661,56.51
13, , , ,-0.5,58.01
14, , , ,-0.341,58.69
15, , , ,-0.34,61.21
16, , , ,1.82,64.54
17, , , ,2.89,65.81
18, , , ,2.11,73.91
19, , , ,2.6,75.29
20, , , ,2.09,76.37
21, , , ,2.17,76.93
22, , , ,2.86,77.79
23, , , ,2.89,78.04
24, , , ,2.75,78.58
25, , , ,2.86,78.99
26, , , ,5.36,82.68
27, , , ,5.6,89.89
28, , , ,4.1,90.83
断面名称,长LCG-5, , ,测量水位,1.01
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.966,0
2, , , ,3.906,1.04
3, , , ,3.906,1.47
4, , , ,3.037,2.1
5, , , ,3.267,6.35
6, , , ,6.297,11.72
7, , , ,6.287,16.81
8, , , ,4.157,22.29
9, , , ,3.047,27.29
10, , , ,1.687,28.52
11, , , ,-0.233,33.1
12, , , ,-1.443,36.15
13, , , ,-1.793,38.25
14, , , ,-1.643,39.51
15, , , ,-1.663,41.65
16, , , ,-1.722,43.34
17, , , ,-1.732,46.44
18, , , ,-1.602,49.11
19, , , ,-1.602,51.36
20, , , ,0.718,53.65
21, , , ,1.538,55.12
22, , , ,2.818,74.75
23, , , ,3.308,79.59
24, , , ,5.769,87.35
25, , , ,5.579,92.78
26, , , ,3.699,95.46
27, , , ,3.199,101.88
断面名称,长LCG-6, , ,测量水位,1.03
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.719,0
2, , , ,4.549,4.89
3, , , ,4.639,6.65
4, , , ,5.579,6.91
5, , , ,5.399,12.5
6, , , ,2.309,20.13
7, , , ,2.119,20.92
8, , , ,2.909,21.44
9, , , ,2.879,21.83
10, , , ,1.739,22.47
11, , , ,1.699,23.11
12, , , ,2.089,23.58
13, , , ,1.249,25.96
14, , , ,1.169,27.12
15, , , ,-1.721,31.12
16, , , ,-1.871,33.71
17, , , ,-2.151,36.4
18, , , ,-1.761,39.53
19, , , ,-1.761,42.28
20, , , ,-1.711,44.68
21, , , ,-1.661,46.24
22, , , ,-1.651,46.76
23, , , ,-1.091,48.34
24, , , ,0.24,51.43
25, , , ,1.65,52.59
26, , , ,2.36,54.39
27, , , ,3,55.11
28, , , ,3.19,58.21
29, , , ,2.15,78.45
30, , , ,1.46,78.67
31, , , ,1.49,81.59
32, , , ,5.65,89.66
33, , , ,5.54,96.04
34, , , ,2.56,100.52
35, , , ,2.65,104.45
断面名称,长LCG-7, , ,测量水位,1.02
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.477,0
2, , , ,5.337,2.12
3, , , ,5.277,6.4
4, , , ,6.247,8.83
5, , , ,6.908,9.89
6, , , ,6.698,11.23
7, , , ,4.878,13.88
8, , , ,3.908,15.28
9, , , ,-0.442,17.15
10, , , ,-0.192,19.41
11, , , ,-0.052,20.75
12, , , ,1.208,26.21
13, , , ,1.148,28.88
14, , , ,1.238,31.97
15, , , ,1.148,34.63
16, , , ,-0.692,37.3
17, , , ,-0.502,37.89
18, , , ,0.598,45.71
19, , , ,3.788,46.84
20, , , ,3.948,48.86
21, , , ,4.588,50.96
22, , , ,4.818,54.64
23, , , ,5.008,56.17
24, , , ,5.658,57.26
25, , , ,5.828,60.75
断面名称,长LCG-8, , ,测量水位,1.01
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.441,0
2, , , ,3.941,5.04
3, , , ,3.491,5.43
4, , , ,3.501,5.89
5, , , ,4.291,6.09
6, , , ,4.311,6.78
7, , , ,5.531,9.71
8, , , ,5.761,11.52
9, , , ,5.631,15.58
10, , , ,3.081,19.36
11, , , ,2.961,20.39
12, , , ,3.051,20.97
13, , , ,2.071,21.14
14, , , ,1.811,22.15
15, , , ,2.951,22.47
16, , , ,3.311,24.35
17, , , ,3.971,25.61
18, , , ,4.381,28.46
19, , , ,1.191,29.43
20, , , ,-0.329,33.08
21, , , ,-0.429,37.57
22, , , ,-0.179,40.29
23, , , ,-0.269,41.64
24, , , ,-0.509,44.12
25, , , ,-1.119,46.37
26, , , ,-0.639,48.84
27, , , ,-0.469,51.06
28, , , ,-0.289,54.17
29, , , ,-0.208,57.4
30, , , ,0.942,60.09
31, , , ,1.312,60.41
32, , , ,1.512,62.12
33, , , ,1.542,67.85
34, , , ,1.842,71.81
35, , , ,2.062,75.4
36, , , ,3.062,75.73
37, , , ,3.042,76.06
38, , , ,4.532,79.04
39, , , ,5.662,81.24
40, , , ,5.582,85.32
41, , , ,5.552,85.46
42, , , ,2.982,88.34
43, , , ,2.852,88.97
44, , , ,2.852,89.95
45, , , ,2.742,96.85
断面名称,长LCG-9, , ,测量水位,1
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.611,0
2, , , ,2.631,1.94
3, , , ,3.011,5.62
4, , , ,5.811,9.68
5, , , ,5.801,13.7
6, , , ,2.581,18.89
7, , , ,2.691,21.65
8, , , ,3.931,23.69
9, , , ,4.481,25.84
10, , , ,4.441,27.19
11, , , ,0.341,28.06
12, , , ,-0.129,29.28
13, , , ,-0.299,31.19
14, , , ,-0.749,33.32
15, , , ,-1.379,36.25
16, , , ,-1.499,38.28
17, , , ,-1.659,40.84
18, , , ,-1.469,42.97
19, , , ,-1.679,44.17
20, , , ,-1.539,46
21, , , ,0.701,48.39
22, , , ,1.391,49.93
23, , , ,1.901,50.36
24, , , ,3.131,53.29
25, , , ,3.771,55.75
26, , , ,4.362,62.35
27, , , ,4.182,69.94
28, , , ,3.522,73.6
29, , , ,1.842,74.05
30, , , ,2.132,75.02
31, , , ,2.822,75.1
32, , , ,2.892,75.6
33, , , ,5.222,79.3
34, , , ,5.312,82.52
35, , , ,4.972,83.76
36, , , ,3.262,86.16
37, , , ,4.062,86.52
38, , , ,4.042,86.87
39, , , ,3.062,87.1
40, , , ,2.922,91.41
断面名称,长LCG-10, , ,测量水位,1.01
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.661,0
2, , , ,4.532,3.74
3, , , ,4.602,7.09
4, , , ,4.272,8.49
5, , , ,1.792,9.16
6, , , ,-1.258,13.42
7, , , ,-1.188,17.2
8, , , ,-1.158,18.84
9, , , ,-1.428,21.61
10, , , ,-1.508,24.77
11, , , ,-1.508,27.53
12, , , ,-1.438,29.37
13, , , ,-1.168,30.09
14, , , ,1.063,36.06
15, , , ,1.533,36.89
16, , , ,2.363,37.63
17, , , ,2.973,38.92
18, , , ,3.553,40.03
19, , , ,3.713,43.59
20, , , ,3.603,47
21, , , ,3.383,49.67
断面名称,长LCG-11, , ,测量水位,1.02
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.639,0
2, , , ,2.949,3.57
3, , , ,3.669,3.93
4, , , ,4.929,6.76
5, , , ,4.779,13.82
6, , , ,2.759,19.21
7, , , ,1.959,19.26
8, , , ,1.319,38.87
9, , , ,0.71,39.82
10, , , ,-1.46,42.45
11, , , ,-1.371,44.5
12, , , ,-1.58,46.45
13, , , ,-2.04,48.76
14, , , ,-2.08,51.3
15, , , ,-2.12,53.39
16, , , ,-2.1,54.01
17, , , ,-1.71,55.69
18, , , ,-1.61,56.77
19, , , ,1.19,60.92
20, , , ,1.47,61.18
21, , , ,2.48,62.15
22, , , ,2.63,63.12
23, , , ,3.07,64.7
24, , , ,3.3,68.01
25, , , ,4.64,68.4
26, , , ,3.72,71.46
27, , , ,1.96,72.78
28, , , ,2.07,73.36
29, , , ,2.93,73.85
30, , , ,2.93,74.03
31, , , ,3.48,75.27
32, , , ,4.14,76.52
33, , , ,5.46,78.99
34, , , ,5.62,81.38
35, , , ,5.52,85.21
36, , , ,4.7,87.87
37, , , ,4.68,88.32
38, , , ,4.08,88.66
39, , , ,3.73,91.17
断面名称,长LCG-12, , ,测量水位,1.03
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.854,0
2, , , ,4.124,4.37
3, , , ,4.804,5.48
4, , , ,5.234,11.9
5, , , ,2.034,18.27
6, , , ,2.035,23.07
7, , , ,2.805,25.32
8, , , ,2.715,28.64
9, , , ,1.475,31.45
10, , , ,0.635,32.43
11, , , ,0.085,35.08
12, , , ,0.405,35.52
13, , , ,-1.495,38.25
14, , , ,-1.515,41
15, , , ,-1.425,44.28
16, , , ,-1.585,46.79
17, , , ,-1.605,47.9
18, , , ,-1.665,51.01
19, , , ,-1.585,55.52
20, , , ,-1.485,59.74
21, , , ,-0.315,62.92
22, , , ,0.635,65.19
23, , , ,1.236,65.38
24, , , ,1.565,66.74
25, , , ,2.036,67.79
26, , , ,3.636,69.22
27, , , ,3.826,71.52
28, , , ,3.836,74.15
29, , , ,3.336,75.95
30, , , ,3.836,77.87
31, , , ,6.076,82.46
32, , , ,6.376,83.97
33, , , ,6.156,84.9
